"","Company","Job_post","Job_location","Salary_in_thousands","Experience_in_years","Skills"
"40","Safaltek Software Pvt. Ltd.","Data_Scientist","Mohali",738,2,"presentation skills | data visualization | database handling"
"41","TalentHunt Consulting","Data_Scientist","Bangalore",777,3,"R | database handling | data visualization"
"42","Parexel","Data_Scientist","Hyderabad",615,2,"R | python | database handling"
"43","Payoda","Data_Scientist","Coimbatore",619,3,"python | R | machine learning"
"44","Shree Manpower Services","Sr_Data_Scientist","Bangalore",524,7,"presentation skills | machine learning | java"
"45","Rockwell Automation","Data_Scientist","Pune",765,2,"java | data visualization | database handling"
"46","Aditya Birla Group","Data_Scientist","Maharashtra",653,2,"R | machine learning | data visualization"
"47","Microsoft","Data_Scientist","Hyderabad",736,3,"python | presentation skills | java"
"48","Muthoot Micorfin Ltd","Data_Scientist","Eranakulam",890,4,"database handling | python | data visualization"
"49","Shaw Academy","Data_Scientist","Bangalore",550,3,"java | presentation skills | python"
"50","Multirecruit","Data_Scientist","Bangalore",778,2,"java | machine learning | data visualization"
"51","FiscalNote","Data_Scientist","Gurgaon",505,4,"machine learning | database handling | presentation skills"
"52","MARKTECH CONSULTANCY","Data_Scientist","Noida",987,4,"machine learning | python | R"
"53","Colgate-Palmolive","Data_Scientist","Mumbai",922,4,"java | data visualization | python"
"54","Stryker","Sr_Data_Scientist","Gurgaon",973,7,"data visualization | database handling | java"
"55","Safaltek Software Pvt. Ltd.","Data_Scientist","Mohali",799,2,"machine learning | database handling | java"
"56","Dell Technologies","Data_Scientist","Bangalore",635,2,"R | java | python"
"57","Profile Enterprises Ltd","Data_Scientist","New Delhi",964,3,"machine learning | database handling | data visualization"
"58","HERE Technologies","Data_Scientist","Mumbai",753,3,"database handling | R | presentation skills"
"59","Vistan NextGen Pvt Ltd","Data_Scientist","Hyderabad",891,3,"python | R | java"
"60","DDR INFOSYSTEM","Data_Scientist","Hyderabad",872,3,"java | R | database handling"
"61","Shaw Academy","Data_Scientist","Bangalore",535,3,"java | database handling | machine learning"
"62","INEXTURE SOLUTIONS","Data_Scientist","Ahmedabad",721,3,"java | data visualization | machine learning"
"63","NatWest Group","Data_Scientist","Gurgaon",551,3,"database handling | presentation skills | R"
"64","Applicate IT Solutions Pvt. Ltd.","Data_Scientist","Gurgaon",827,2,"java | presentation skills | database handling"
"65","Roche Pharmaceuticals","Data_Scientist","Mumbai",503,3,"database handling | machine learning | R"
"66","Qwickbit technologies pvt ltd","Sr_Data_Scientist","Bangalore",803,5,"python | presentation skills | java"
"67","WSD Consultant","Jr_Data_Scientist","Gurgaon",676,0,"database handling | R | presentation skills"
"68","Zestmoney","Data_Scientist","Karnataka",781,3,"presentation skills | data visualization | machine learning"
"69","XPO Logistics","Data_Scientist","Mumbai",700,3,"data visualization | machine learning | R"
"70","Safaltek Software Pvt. Ltd.","Data_Scientist","Mohali",894,2,"java | machine learning | python"
"71","TalentHunt Consulting","Data_Scientist","Bangalore",774,3,"machine learning | python | presentation skills"
"72","Parexel","Data_Scientist","Hyderabad",691,2,"R | python | machine learning"
"73","Payoda","Data_Scientist","Coimbatore",773,3,"python | presentation skills | R"
"74","Shree Manpower Services","Sr_Data_Scientist","Bangalore",601,7,"database handling | java | python"
"75","Rockwell Automation","Data_Scientist","Pune",929,2,"R | python | presentation skills"
"76","Aditya Birla Group","Data_Scientist","Maharashtra",887,3,"machine learning | R | python"
"77","Microsoft","Data_Scientist","Hyderabad",949,2,"database handling | data visualization | presentation skills"
"78","Muthoot Micorfin Ltd","Data_Scientist","Eranakulam",681,4,"java | machine learning | database handling"
"79","Multirecruit","Data_Scientist","Bangalore",878,3,"data visualization | presentation skills | java"
"80","MARKTECH CONSULTANCY","Data_Scientist","Noida",891,3,"machine learning | data visualization | python"
"81","Stryker","Sr_Data_Scientist","Gurgaon",656,7,"machine learning | presentation skills | database handling"
"82","Profile Enterprises Ltd","Data_Scientist","New Delhi",927,3,"database handling | presentation skills | machine learning"
"83","HERE Technologies","Data_Scientist","Mumbai",828,4,"R | java | python"
"84","Vistan NextGen Pvt Ltd","Data_Scientist","Hyderabad",752,4,"java | python | machine learning"
"85","DDR INFOSYSTEM","Data_Scientist","Hyderabad",965,3,"machine learning | python | database handling"
"86","Biz2Credit Inc","Data_Scientist","Noida",915,3,"machine learning | java | database handling"
"87","ANI Calls India Private Limited","Data_Scientist","Noida",771,3,"database handling | java | python"
"88","IDEAS2IT TECHNOLOGY SERVICES PRIVATE LIMITED","Data_Scientist","India",895,3,"java | machine learning | python"
"89","Globussoft","Data_Scientist","Maharashtra",816,4,"R | java | data visualization"
"90","ANI Calls India Private Limited","Data_Scientist","Hyderabad",804,4,"database handling | presentation skills | R"
"91","INEXTURE SOLUTIONS","Data_Scientist","Ahmedabad",842,2,"R | database handling | data visualization"
"92","NatWest Group","Data_Scientist","Gurgaon",637,3,"presentation skills | machine learning | python"
"93","Applicate IT Solutions Pvt. Ltd.","Data_Scientist","Gurgaon",598,3,"database handling | data visualization | java"
"94","Roche Pharmaceuticals","Data_Scientist","Mumbai",552,3,"database handling | python | R"
"95","Qwickbit technologies pvt ltd","Sr_Data_Scientist","Bangalore",774,5,"data visualization | java | machine learning"
"96","WSD Consultant","Jr_Data_Scientist","Gurgaon",516,0,"database handling | presentation skills | data visualization"
"97","Zestmoney","Data_Scientist","Karnataka",838,2,"presentation skills | machine learning | R"
"98","XPO Logistics","Data_Scientist","Mumbai",595,3,"database handling | R | data visualization"
"99","Safaltek Software Pvt. Ltd.","Data_Scientist","Mohali",924,2,"R | python | machine learning"
"100","TalentHunt Consulting","Data_Scientist","Bangalore",877,4,"java | machine learning | data visualization"
"101","Parexel","Data_Scientist","Hyderabad",690,3,"data visualization | presentation skills | java"
"102","Payoda","Data_Scientist","Coimbatore",675,2,"python | database handling | presentation skills"
"103","Shree Manpower Services","Sr_Data_Scientist","Bangalore",805,7,"java | presentation skills | machine learning"
"104","Rockwell Automation","Data_Scientist","Pune",695,4,"machine learning | data visualization | presentation skills"
"105","Aditya Birla Group","Data_Scientist","Maharashtra",515,3,"python | data visualization | presentation skills"
"106","Microsoft","Data_Scientist","Hyderabad",503,2,"data visualization | R | presentation skills"
"107","Muthoot Micorfin Ltd","Data_Scientist","Eranakulam",604,4,"data visualization | R | machine learning"
"108","Multirecruit","Data_Scientist","Bangalore",806,3,"python | java | machine learning"
"109","MARKTECH CONSULTANCY","Data_Scientist","Noida",703,3,"java | machine learning | R"
"110","Stryker","Sr_Data_Scientist","Gurgaon",794,7,"data visualization | presentation skills | R"
"111","Profile Enterprises Ltd","Data_Scientist","New Delhi",541,2,"database handling | machine learning | java"
"112","HERE Technologies","Data_Scientist","Mumbai",626,3,"database handling | presentation skills | machine learning"
"113","Vistan NextGen Pvt Ltd","Data_Scientist","Hyderabad",503,2,"python | data visualization | R"
"114","DDR INFOSYSTEM","Data_Scientist","Hyderabad",772,3,"data visualization | python | presentation skills"
"115","Biz2Credit Inc","Data_Scientist","Noida",871,4,"data visualization | database handling | java"
"116","ANI Calls India Private Limited","Data_Scientist","Noida",594,3,"java | database handling | data visualization"
"117","IDEAS2IT TECHNOLOGY SERVICES PRIVATE LIMITED","Data_Scientist","India",805,4,"python | R | data visualization"
"118","Globussoft","Data_Scientist","Maharashtra",737,2,"machine learning | presentation skills | java"
"119","ANI Calls India Private Limited","Data_Scientist","Hyderabad",660,4,"presentation skills | java | R"
"120","ANI Calls India Private Limited","Data_Scientist","Bangalore",828,3,"data visualization | machine learning | R"
"121","IBM","Data_Scientist","Bangalore",563,2,"java | data visualization | python"
"122","IBM","Data_Scientist","Bangalore",508,2,"python | presentation skills | data visualization"
"123","offshore software solutions","Data_Scientist","SAS Nagar",964,2,"java | database handling | presentation skills"
"124","RGF Professional Recruitment","Data_Scientist","New Delhi",537,4,"R | data visualization | machine learning"
"125","Ank Aha","Data_Scientist","New Delhi",686,3,"machine learning | presentation skills | database handling"
"126","Webhelp","Data_Scientist","Gurgaon",881,2,"machine learning | database handling | R"
"127","Kaplan","Data_Scientist","Bangalore",542,4,"python | R | data visualization"
"128","zBliss Technologies","Jr_Data_Scientist","Bangalore",834,0,"R | presentation skills | machine learning"
"129","Intellect Design Arena Limited","Data_Scientist","Chennai",734,4,"python | data visualization | presentation skills"
"130","torcai digital media","Data_Scientist","Pune",705,4,"python | database handling | data visualization"
"131","BDB","Data_Scientist","Bangalore",993,4,"java | presentation skills | data visualization"
"132","Algoscale","Data_Scientist","Noida",525,3,"R | database handling | java"
"133","ZettaMine","Data_Scientist","Hyderabad",896,4,"data visualization | java | R"
"134","Tookitaki","Data_Scientist","Bangalore",645,2,"java | machine learning | data visualization"
"135","Skoruz","Data_Scientist","Bangalore",844,4,"java | presentation skills | data visualization"
"136","Larsen & Toubro Infotech Limited","Data_Scientist","India",743,4,"R | machine learning | database handling"
"137","Shaw Academy","Data_Scientist","Bangalore",836,3,"database handling | presentation skills | machine learning"
"138","Techlive","Data_Scientist","Noida",812,2,"java | data visualization | machine learning"
"139","Xome","Data_Scientist","Chennai",720,4,"python | R | database handling"
"140","Unilever","Data_Scientist","Bangalore",571,4,"java | python | presentation skills"
"141","Amazon","Data_Scientist","Bangalore",561,4,"presentation skills | database handling | machine learning"
"142","Lumiq","Data_Scientist","India",842,3,"database handling | machine learning | python"
"143","Pivotchain Solution Technologies","Data_Scientist","Pune",580,4,"database handling | presentation skills | java"
"144","Michael Page","Data_Scientist","Mumbai",922,3,"java | database handling | machine learning"
"145","Sentieo","Data_Scientist","New Delhi",851,2,"database handling | machine learning | data visualization"
"146","GreenTree","Data_Scientist","Bangalore",673,4,"data visualization | R | presentation skills"
"147","JPMorgan Chase Bank, N.A.","Data_Scientist","Bangalore",644,4,"machine learning | R | java"
"148","MSD","Data_Scientist","India",556,3,"java | database handling | R"
"149","Mahajan Imaging","Data_Scientist","New Delhi",749,2,"R | python | java"
"150","MAKRO","Data_Scientist","Hyderabad",564,4,"python | R | presentation skills"
"151","Salasar New Age Technologies","Jr_Data_Scientist","Noida",745,0,"machine learning | python | presentation skills"
"152","Ganit","Data_Scientist","Chennai",591,2,"python | presentation skills | database handling"
"153","HiPro IT Solutions Private Limited","Software_Engineer","Chennai",645,4,"databases | programming | mathematical aptitude"
"154","iGold Technologies Private Limited","Software_Engineer","Chennai",301,3,"operating systems | databases | data structures and algorithms"
"155","Orange","Software_Engineer","Gurgaon",661,4,"databases | operating systems | problem solving"
"156","Deep Trekker","Software_Engineer","Mumbai",522,2,"problem solving | mathematical aptitude | programming"
"157","N2K Info systems","Software_Engineer","Hyderabad",479,4,"data structures and algorithms | databases | problem solving"
"158","Orange","Software_Engineer","India",516,3,"databases | programming | operating systems"
"159","MABSQUARE SOFTWARE TECHNOLOGIES","Software_Engineer","Bangalore",609,2,"data structures and algorithms | problem solving | mathematical aptitude"
"160","Vamstar","Software_Engineer","Bangalore",384,2,"programming | mathematical aptitude | databases"
"161","Mahindra First Choice Wheels Ltd","Software_Engineer","Bangalore",420,2,"databases | data structures and algorithms | problem solving"
"162","Maximus Infoware","Software_Engineer","Thane",281,3,"programming | databases | data structures and algorithms"
"163","Exellor India Pvt Ltd","Software_Engineer","Bangalore",661,2,"programming | data structures and algorithms | problem solving"
"164","KAEM Softwares (p) LTD","Software_Engineer","Mumbai",371,2,"programming | operating systems | databases"
"165","Loyalie IT Solutions Pvt. Ltd.","Software_Engineer","Bangalore",563,3,"databases | operating systems | problem solving"
"166","Sarvodaya Infotech Pvt Ltd","Software_Engineer","Ghaziabad",504,4,"operating systems | databases | data structures and algorithms"
"167","Google","Software_Engineer","Bangalore",669,4,"operating systems | problem solving | mathematical aptitude"
"168","Valetude Primus Healthcare Pvt. Ltd.","Software_Engineer","New Delhi",373,4,"problem solving | databases | data structures and algorithms"
"169","Vivensas","Software_Engineer","Coimbatore",378,3,"databases | mathematical aptitude | data structures and algorithms"
"170","Dinfotech","Software_Engineer","Chennai",213,2,"problem solving | operating systems | data structures and algorithms"
"171","Apple","Software_Engineer","Hyderabad",257,4,"data structures and algorithms | programming | problem solving"
"172","Dinfotech","Software_Engineer","Bangalore",645,4,"databases | mathematical aptitude | problem solving"
"173","Shaurya Technosoft Pvt Ltd","Software_Engineer","Pune",586,3,"mathematical aptitude | problem solving | operating systems"
"174","NetXs Solutions","Software_Engineer","Ahmedabad",634,3,"mathematical aptitude | data structures and algorithms | problem solving"
"175","SoPa Cognitive Analytics Pvt Ltd","Software_Engineer","Noida",385,4,"data structures and algorithms | databases | programming"
"176","DST Systems","Software_Engineer","Hyderabad",631,4,"operating systems | databases | programming"
"177","Synopsys","Software_Engineer","Bangalore",230,3,"operating systems | data structures and algorithms | programming"
"178","iTechnoSol","Software_Engineer","Vadodara",385,2,"operating systems | programming | mathematical aptitude"
"179","Flywheels Embedded Research","Software_Engineer","Bangalore",261,4,"operating systems | problem solving | mathematical aptitude"
"180","HANLON INFOTECH PRIVATE LIMITED","Software_Engineer","Balaghat",244,3,"mathematical aptitude | programming | operating systems"
"181","NatWest Group","Software_Engineer","Gurgaon",572,3,"programming | data structures and algorithms | mathematical aptitude"
"182","Fittment Finder","Software_Engineer","Pune",511,4,"problem solving | data structures and algorithms | programming"
"183","Orange","Software_Engineer","Gurgaon",222,2,"databases | programming | operating systems"
"184","HiPro IT Solutions Private Limited","Software_Engineer","Chennai",472,3,"mathematical aptitude | databases | programming"
"185","N2K Info systems","Software_Engineer","Hyderabad",492,2,"mathematical aptitude | programming | problem solving"
"186","Orange","Software_Engineer","India",279,3,"databases | data structures and algorithms | programming"
"187","MABSQUARE SOFTWARE TECHNOLOGIES","Software_Engineer","Bangalore",693,4,"databases | mathematical aptitude | problem solving"
"188","Vamstar","Software_Engineer","Bangalore",352,2,"programming | operating systems | data structures and algorithms"
"189","Mahindra First Choice Wheels Ltd","Software_Engineer","Bangalore",462,2,"databases | data structures and algorithms | operating systems"
"190","Maximus Infoware","Software_Engineer","Thane",593,4,"operating systems | programming | databases"
"191","Exellor India Pvt Ltd","Software_Engineer","Bangalore",226,4,"databases | data structures and algorithms | problem solving"
"192","KAEM Softwares (p) LTD","Software_Engineer","Mumbai",482,3,"operating systems | programming | problem solving"
"193","Loyalie IT Solutions Pvt. Ltd.","Software_Engineer","Bangalore",527,3,"mathematical aptitude | programming | operating systems"
"194","Sarvodaya Infotech Pvt Ltd","Software_Engineer","Ghaziabad",253,4,"operating systems | problem solving | databases"
"195","Google","Software_Engineer","Bangalore",678,4,"databases | data structures and algorithms | mathematical aptitude"
"196","Valetude Primus Healthcare Pvt. Ltd.","Software_Engineer","New Delhi",469,2,"problem solving | programming | operating systems"
"197","Vivensas","Software_Engineer","Coimbatore",316,4,"problem solving | data structures and algorithms | mathematical aptitude"
"198","Dinfotech","Software_Engineer","Chennai",231,4,"data structures and algorithms | operating systems | databases"
"199","Apple","Software_Engineer","Hyderabad",250,2,"mathematical aptitude | programming | operating systems"
"200","Dinfotech","Software_Engineer","Bangalore",324,3,"problem solving | operating systems | databases"
"201","Shaurya Technosoft Pvt Ltd","Software_Engineer","Pune",283,3,"problem solving | data structures and algorithms | mathematical aptitude"
"202","SoPa Cognitive Analytics Pvt Ltd","Software_Engineer","Noida",330,2,"mathematical aptitude | databases | operating systems"
"203","DST Systems","Software_Engineer","Hyderabad",617,2,"operating systems | programming | problem solving"
"204","Synopsys","Software_Engineer","Bangalore",593,4,"data structures and algorithms | programming | problem solving"
"205","iTechnoSol","Software_Engineer","Vadodara",533,2,"operating systems | programming | databases"
"206","Flywheels Embedded Research","Software_Engineer","Bangalore",419,3,"data structures and algorithms | operating systems | databases"
"207","HANLON INFOTECH PRIVATE LIMITED","Software_Engineer","Balaghat",692,2,"mathematical aptitude | databases | operating systems"
"208","NatWest Group","Software_Engineer","Gurgaon",616,4,"problem solving | data structures and algorithms | operating systems"
"209","Fittment Finder","Software_Engineer","Pune",689,2,"databases | mathematical aptitude | data structures and algorithms"
"210","Kovan Technology Labs India Private Ltd","Software_Engineer","Coimbatore",425,4,"programming | operating systems | data structures and algorithms"
"211","DreamzTech Solutions","Software_Engineer","Calcutta",226,3,"mathematical aptitude | problem solving | data structures and algorithms"
"212","IncubXperts TechnoConsulting Pvt Ltd.","Software_Engineer","Pune",602,2,"data structures and algorithms | databases | programming"
"213","Orange","Software_Engineer","Gurgaon",376,4,"problem solving | mathematical aptitude | data structures and algorithms"
"214","HiPro IT Solutions Private Limited","Software_Engineer","Chennai",573,3,"problem solving | databases | programming"
"215","N2K Info systems","Software_Engineer","Hyderabad",638,3,"programming | problem solving | databases"
"216","Orange","Software_Engineer","India",595,4,"mathematical aptitude | problem solving | data structures and algorithms"
"217","MABSQUARE SOFTWARE TECHNOLOGIES","Software_Engineer","Bangalore",215,4,"databases | mathematical aptitude | problem solving"
"218","Vamstar","Software_Engineer","Bangalore",265,2,"problem solving | programming | data structures and algorithms"
"219","Mahindra First Choice Wheels Ltd","Software_Engineer","Bangalore",550,3,"mathematical aptitude | problem solving | data structures and algorithms"
"220","Maximus Infoware","Software_Engineer","Thane",505,4,"databases | mathematical aptitude | problem solving"
"221","Exellor India Pvt Ltd","Software_Engineer","Bangalore",412,3,"problem solving | data structures and algorithms | operating systems"
"222","KAEM Softwares (p) LTD","Software_Engineer","Mumbai",630,4,"data structures and algorithms | operating systems | programming"
"223","Loyalie IT Solutions Pvt. Ltd.","Software_Engineer","Bangalore",488,2,"mathematical aptitude | programming | operating systems"
"224","Sarvodaya Infotech Pvt Ltd","Software_Engineer","Ghaziabad",347,3,"programming | problem solving | data structures and algorithms"
"225","Google","Software_Engineer","Bangalore",494,2,"programming | problem solving | databases"
"226","Valetude Primus Healthcare Pvt. Ltd.","Software_Engineer","New Delhi",532,3,"mathematical aptitude | databases | operating systems"
"227","Vivensas","Software_Engineer","Coimbatore",323,3,"databases | problem solving | programming"
"228","Dinfotech","Software_Engineer","Chennai",450,2,"operating systems | programming | mathematical aptitude"
"229","Apple","Software_Engineer","Hyderabad",401,3,"programming | databases | data structures and algorithms"
"230","Dinfotech","Software_Engineer","Bangalore",591,2,"mathematical aptitude | problem solving | operating systems"
"231","Shaurya Technosoft Pvt Ltd","Software_Engineer","Pune",472,3,"data structures and algorithms | problem solving | operating systems"
"232","SoPa Cognitive Analytics Pvt Ltd","Software_Engineer","Noida",422,3,"mathematical aptitude | programming | databases"
"233","DST Systems","Software_Engineer","Hyderabad",388,3,"operating systems | programming | databases"
"234","Synopsys","Software_Engineer","Bangalore",268,2,"operating systems | databases | programming"
"235","iTechnoSol","Software_Engineer","Vadodara",239,2,"data structures and algorithms | operating systems | mathematical aptitude"
"236","Flywheels Embedded Research","Software_Engineer","Bangalore",221,2,"data structures and algorithms | operating systems | databases"
"237","HANLON INFOTECH PRIVATE LIMITED","Software_Engineer","Balaghat",305,3,"mathematical aptitude | programming | databases"
"238","NatWest Group","Software_Engineer","Gurgaon",505,2,"programming | databases | data structures and algorithms"
"239","Fittment Finder","Software_Engineer","Pune",657,3,"mathematical aptitude | programming | operating systems"
"240","Kovan Technology Labs India Private Ltd","Software_Engineer","Coimbatore",442,2,"data structures and algorithms | problem solving | operating systems"
"241","DreamzTech Solutions","Software_Engineer","Calcutta",480,4,"operating systems | data structures and algorithms | mathematical aptitude"
"242","IncubXperts TechnoConsulting Pvt Ltd.","Software_Engineer","Pune",690,2,"operating systems | data structures and algorithms | programming"
"243","HiPro IT Solutions Private Limited","Software_Engineer","Chennai",425,3,"programming | problem solving | operating systems"
"244","iGold Technologies Private Limited","Software_Engineer","Chennai",639,2,"programming | databases | mathematical aptitude"
"245","Orange","Software_Engineer","Gurgaon",502,3,"databases | programming | data structures and algorithms"
"246","Deep Trekker","Software_Engineer","Mumbai",440,3,"operating systems | databases | mathematical aptitude"
"247","N2K Info systems","Software_Engineer","Hyderabad",571,4,"databases | data structures and algorithms | programming"
"248","Orange","Software_Engineer","India",406,3,"operating systems | problem solving | mathematical aptitude"
"249","MABSQUARE SOFTWARE TECHNOLOGIES","Software_Engineer","Bangalore",315,2,"data structures and algorithms | problem solving | operating systems"
"250","Vamstar","Software_Engineer","Bangalore",640,2,"problem solving | databases | data structures and algorithms"
"251","Mahindra First Choice Wheels Ltd","Software_Engineer","Bangalore",380,3,"data structures and algorithms | operating systems | problem solving"
"252","Maximus Infoware","Software_Engineer","Thane",400,4,"operating systems | mathematical aptitude | databases"
"253","Exellor India Pvt Ltd","Software_Engineer","Bangalore",462,2,"mathematical aptitude | programming | problem solving"
"254","KAEM Softwares (p) LTD","Software_Engineer","Mumbai",647,2,"databases | data structures and algorithms | operating systems"
"255","Loyalie IT Solutions Pvt. Ltd.","Software_Engineer","Bangalore",576,4,"mathematical aptitude | programming | problem solving"
"256","Sarvodaya Infotech Pvt Ltd","Software_Engineer","Ghaziabad",490,2,"mathematical aptitude | programming | data structures and algorithms"
"257","Google","Software_Engineer","Bangalore",336,3,"programming | mathematical aptitude | data structures and algorithms"
"258","Valetude Primus Healthcare Pvt. Ltd.","Software_Engineer","New Delhi",480,2,"data structures and algorithms | operating systems | problem solving"
"259","Vivensas","Software_Engineer","Coimbatore",399,4,"data structures and algorithms | mathematical aptitude | operating systems"
"260","Dinfotech","Software_Engineer","Chennai",593,3,"databases | mathematical aptitude | data structures and algorithms"
"261","Apple","Software_Engineer","Hyderabad",309,2,"data structures and algorithms | programming | databases"
"262","Dinfotech","Software_Engineer","Bangalore",639,3,"databases | operating systems | data structures and algorithms"
"263","Shaurya Technosoft Pvt Ltd","Software_Engineer","Pune",515,2,"data structures and algorithms | databases | programming"
"264","NetXs Solutions","Software_Engineer","Ahmedabad",539,2,"operating systems | problem solving | databases"
"265","SoPa Cognitive Analytics Pvt Ltd","Software_Engineer","Noida",432,2,"operating systems | data structures and algorithms | problem solving"
"266","DST Systems","Software_Engineer","Hyderabad",387,4,"programming | operating systems | mathematical aptitude"
"267","Synopsys","Software_Engineer","Bangalore",640,2,"mathematical aptitude | data structures and algorithms | operating systems"
"268","iTechnoSol","Software_Engineer","Vadodara",515,4,"operating systems | data structures and algorithms | problem solving"
"269","Flywheels Embedded Research","Software_Engineer","Bangalore",470,4,"programming | problem solving | databases"
"270","HANLON INFOTECH PRIVATE LIMITED","Software_Engineer","Balaghat",515,4,"mathematical aptitude | programming | databases"
"271","NatWest Group","Software_Engineer","Gurgaon",397,2,"problem solving | programming | mathematical aptitude"
"272","Fittment Finder","Software_Engineer","Pune",370,4,"databases | operating systems | programming"
"273","HiPro IT Solutions Private Limited","Software_Engineer","Chennai",573,3,"operating systems | problem solving | mathematical aptitude"
"274","iGold Technologies Private Limited","Software_Engineer","Chennai",579,2,"mathematical aptitude | programming | data structures and algorithms"
"275","Orange","Software_Engineer","Gurgaon",396,2,"operating systems | problem solving | programming"
"276","Deep Trekker","Software_Engineer","Mumbai",308,2,"operating systems | data structures and algorithms | problem solving"
"277","N2K Info systems","Software_Engineer","Hyderabad",245,4,"operating systems | programming | databases"
"278","Orange","Software_Engineer","India",363,3,"operating systems | programming | data structures and algorithms"
"279","MABSQUARE SOFTWARE TECHNOLOGIES","Software_Engineer","Bangalore",419,2,"mathematical aptitude | operating systems | data structures and algorithms"
"280","Vamstar","Software_Engineer","Bangalore",589,3,"mathematical aptitude | data structures and algorithms | programming"
"281","Mahindra First Choice Wheels Ltd","Software_Engineer","Bangalore",205,4,"data structures and algorithms | programming | databases"
"282","Maximus Infoware","Software_Engineer","Thane",594,2,"programming | operating systems | data structures and algorithms"
"283","Exellor India Pvt Ltd","Software_Engineer","Bangalore",264,2,"mathematical aptitude | databases | programming"
"284","KAEM Softwares (p) LTD","Software_Engineer","Mumbai",428,3,"operating systems | programming | problem solving"
"285","Loyalie IT Solutions Pvt. Ltd.","Software_Engineer","Bangalore",632,2,"databases | mathematical aptitude | operating systems"
"286","Sarvodaya Infotech Pvt Ltd","Software_Engineer","Ghaziabad",333,2,"operating systems | programming | problem solving"
"287","Google","Software_Engineer","Bangalore",544,3,"data structures and algorithms | operating systems | mathematical aptitude"
"288","Valetude Primus Healthcare Pvt. Ltd.","Software_Engineer","New Delhi",231,2,"databases | data structures and algorithms | programming"
