"","Company","Job_post","Job_location","Salary_in_thousands","Experience_in_years","Skills"
"each_skill.34","Speegile Consulting","Data Scientist","Calcutta",681,2,"R | database handling | data visualization"
"each_skill.35","Hitachi Vantara","Data Scientist","Pune",732,4,"machine learning | R | database handling"
"each_skill.36","Foghorn Systems","Data Scientist","Pune",827,4,"presentation skills | java | database handling"
"each_skill.37","Netomi","Data Scientist","Gurgaon",509,3,"java | presentation skills | machine learning"
"each_skill.38","Payoda","Data Scientist","Coimbatore",986,1,"presentation skills | data visualization | database handling"
"each_skill.39","ECS","Data Scientist","Chennai",752,0,"machine learning | python | R"
"each_skill.40","Testbook","Data Scientist","Navi Mumbai",817,4,"python | machine learning | java"
"each_skill.41","Agnik","Data Scientist","India",526,5,"machine learning | database handling | data visualization"
"each_skill.42","Six Sigma","Data Scientist","Cochin",548,6,"data visualization | presentation skills | machine learning"
"each_skill.43","Analytics Vidhya","Data Scientist","Gurgaon",607,2,"R | python | data visualization"
"each_skill.44","GroundTruth","Junior Data Analyst","Gurgaon",666,6,"data visualization | database handling | python"
"each_skill.45","HR Devi and Associates","Data Scientist","Thiruvananthapuram",759,5,"database handling | data visualization | python"
"each_skill.46","Sequretek","Data Scientist","Bangalore",830,0,"data visualization | machine learning | python"
"each_skill.47","Bayer","Data Scientist","Bangalore",785,6,"data visualization | presentation skills | R"
"each_skill.48","Alphonso","Data Scientist","Bangalore",844,0,"database handling | presentation skills | R"
"each_skill.49","Integral Ad Science","Staff Big Data Engineer","Pune",754,2,"java | data visualization | database handling"
"each_skill.50","GroundTruth","Data Analyst","Gurgaon",942,5,"java | machine learning | R"
"each_skill.51","Imurgence","Data Scientist","Jamshedpur",780,6,"java | presentation skills | data visualization"
"each_skill.52","Webhelp","Data Scientist","Gurgaon",763,5,"R | machine learning | database handling"
"each_skill.53","Applied Data Finance","Data Scientist","Chennai",624,0,"python | presentation skills | database handling"
"each_skill.54","AppZen","Data Scientist","Pune",753,5,"machine learning | java | data visualization"
"each_skill.55","Amazon","Data Scientist II","Bangalore",908,2,"python | java | data visualization"
"each_skill.56","KBR","Data Scientist","Pune",857,6,"R | presentation skills | database handling"
"each_skill.57","MP Dominic & Company","Data Scientist","Thiruvananthapuram",657,5,"machine learning | python | database handling"
"each_skill.58","Clean Harbors India LLP","Data Scientist","Hyderabad",746,4,"data visualization | R | machine learning"
"each_skill.59","TALCHEMIST","Data Scientist","Bangalore",749,2,"data visualization | python | presentation skills"
"each_skill.60","American Express Global Business Travel","Data Scientist","Gurgaon",938,2,"presentation skills | data visualization | R"
"each_skill.61","UST Global Singapore Pte Limited","Data Scientist","Thiruvananthapuram",506,0,"java | database handling | python"
"each_skill.62","Colgate-Palmolive","Data Scientist","Mumbai",887,4,"R | data visualization | python"
"each_skill.63","Coaching on wheels","Senior AI Data Scientist (5 - 7 yrs exp)","Hyderabad",684,4,"data visualization | machine learning | database handling"
"each_skill.64","Shaw Academy","Data Scientist (NLP) for a Product Based Edutech Company","Bangalore",519,6,"machine learning | presentation skills | java"
"each_skill.65","WSD Consultant","Junior Data Scientist/ta","Gurgaon",802,2,"data visualization | presentation skills | R"
"each_skill.66","Onpassive","Data Scientist","Hyderabad",511,0,"R | machine learning | database handling"
"each_skill.67","CKS SOLUTIONS","Data Scientist","Thiruvananthapuram",867,1,"python | java | database handling"
"each_skill.68","Standard Chartered","Deep Learning Specialist(Data Scientist)","Chennai",574,0,"R | machine learning | data visualization"
"each_skill.69","Pion Global Pvt Ltd","Data Scientist","Bangalore",725,5,"data visualization | python | database handling"
"each_skill.70","Applicate IT Solutions Pvt. Ltd.","Data Scientist","Gurgaon",612,3,"data visualization | R | presentation skills"
"each_skill.71","Samaira HR Solutions","Data Scientist","Mumbai",898,6,"machine learning | data visualization | R"
"each_skill.72","Ignatiuz Software","Data Science Intern","Indore",954,6,"machine learning | python | R"
"each_skill.73","INEXTURE SOLUTIONS","Data Scientist","Ahmedabad",695,2,"database handling | R | machine learning"
"each_skill.74","sybill","Data Scientist","Remote",643,2,"python | machine learning | R"
"each_skill.75","Arya.ai","Computer Vision - Data Scientist","Mumbai",902,0,"database handling | R | machine learning"
"each_skill.76","Safaltek Software Pvt. Ltd.","Data Scientist Developer","Mohali",617,5,"presentation skills | java | R"
"each_skill.77","Whitespace Health","Senior Data Scientist","Hyderabad",770,3,"python | database handling | machine learning"
"each_skill.78","Sequretek Pvt. Ltd.","Research Data Scientist","Mumbai",887,4,"python | database handling | R"
"each_skill.79","Qwickbit technologies pvt ltd","Sr. Data Scientist","Bangalore",905,3,"machine learning | presentation skills | R"
"each_skill.80","Aretove","Data Scientist","Pune",800,1,"machine learning | data visualization | java"
"each_skill.81","Shree Manpower Services","Senior Data Scientist","Bangalore",557,1,"database handling | machine learning | R"
"each_skill.82","Nutanix","Data Scientist","Bangalore",668,2,"database handling | presentation skills | R"
"each_skill.83","Pumex Infotech Pvt Ltd","Job Role: JRSS Data Scientist","Cochin",926,1,"R | java | python"
"each_skill.84","AceNet","Data Scientist","Bangalore",743,0,"python | java | database handling"
"each_skill.85","Ericsson","Data Scientist","Bangalore",592,6,"data visualization | machine learning | R"
"each_skill.86","Fractal.ai","NLP Data Scientist - Cuddle.ai","Bangalore",685,1,"data visualization | database handling | java"
"each_skill.87","Luxoft","Data Science","Hyderabad",834,6,"presentation skills | machine learning | python"
"each_skill.88","PLUTO 7","Senior Data Scientist","Bangalore",620,5,"database handling | data visualization | R"
"each_skill.89","TalentHunt Consulting","Data Engineer with Machine Learning - 3-5years experience for Bangalore","Bangalore",566,1,"database handling | machine learning | python"
"each_skill.90","Michelin","Manager - Data Scientist","Pune",800,3,"java | presentation skills | machine learning"
"each_skill.91","Accenture","Associate-Data Science","Mumbai",547,3,"R | java | data visualization"
"each_skill.92","WSD Consultant","Junior Data Scientist/ta","Gurgaon",788,1,"database handling | python | data visualization"
"each_skill.93","Onpassive","Data Scientist","Hyderabad",840,5,"java | machine learning | python"
"each_skill.94","CKS SOLUTIONS","Data Scientist","Thiruvananthapuram",746,4,"database handling | R | java"
"each_skill.95","Standard Chartered","Deep Learning Specialist(Data Scientist)","Chennai",805,0,"python | database handling | data visualization"
"each_skill.96","Pion Global Pvt Ltd","Data Scientist","Bangalore",797,3,"data visualization | java | database handling"
"each_skill.97","Applicate IT Solutions Pvt. Ltd.","Data Scientist","Gurgaon",897,3,"R | python | machine learning"
"each_skill.98","Samaira HR Solutions","Data Scientist","Mumbai",633,0,"data visualization | presentation skills | python"
"each_skill.99","Ignatiuz Software","Data Science Intern","Indore",583,3,"java | machine learning | presentation skills"
"each_skill.100","INEXTURE SOLUTIONS","Data Scientist","Ahmedabad",878,6,"presentation skills | database handling | python"
"each_skill.101","sybill","Data Scientist","Remote",512,6,"data visualization | presentation skills | java"
"each_skill.102","Arya.ai","Computer Vision - Data Scientist","Mumbai",661,3,"presentation skills | data visualization | java"
"each_skill.103","Safaltek Software Pvt. Ltd.","Data Scientist Developer","Mohali",776,6,"data visualization | database handling | R"
"each_skill.104","Whitespace Health","Senior Data Scientist","Hyderabad",826,5,"python | java | presentation skills"
"each_skill.105","Sequretek Pvt. Ltd.","Research Data Scientist","Mumbai",901,3,"python | presentation skills | java"
"each_skill.106","Qwickbit technologies pvt ltd","Sr. Data Scientist","Bangalore",664,6,"data visualization | python | machine learning"
"each_skill.107","Aretove","Data Scientist","Pune",507,6,"java | presentation skills | machine learning"
"each_skill.108","Shree Manpower Services","Senior Data Scientist","Bangalore",668,2,"java | R | machine learning"
"each_skill.109","Nutanix","Data Scientist","Bangalore",732,2,"java | python | R"
"each_skill.110","Pumex Infotech Pvt Ltd","Job Role: JRSS Data Scientist","Cochin",635,2,"database handling | data visualization | java"
"each_skill.111","AceNet","Data Scientist","Bangalore",973,0,"database handling | data visualization | python"
"each_skill.112","Ericsson","Data Scientist","Bangalore",512,4,"python | R | machine learning"
"each_skill.113","Fractal.ai","NLP Data Scientist - Cuddle.ai","Bangalore",920,5,"database handling | python | presentation skills"
"each_skill.114","Luxoft","Data Science","Hyderabad",583,4,"machine learning | presentation skills | python"
"each_skill.115","PLUTO 7","Senior Data Scientist","Bangalore",937,6,"java | data visualization | machine learning"
"each_skill.116","TalentHunt Consulting","Data Engineer with Machine Learning - 3-5years experience for Bangalore","Bangalore",504,2,"R | machine learning | python"
"each_skill.117","Michelin","Manager - Data Scientist","Pune",847,5,"database handling | R | java"
"each_skill.118","Colgate-Palmolive","Data Scientist","Mumbai",801,2,"presentation skills | database handling | machine learning"
"each_skill.119","Accenture","Associate-Data Science","Mumbai",915,4,"java | machine learning | python"
"each_skill.120","Arista Networks","Data Scientist","Bangalore",609,3,"python | database handling | machine learning"
"each_skill.121","Grameen Foundation","Data Scientist","Gurgaon",666,1,"data visualization | python | database handling"
"each_skill.122","Phenom People","Data Engineer II","Hyderabad",869,5,"database handling | presentation skills | data visualization"
"each_skill.123","PepsiCo","Associate Manager - Data Science - Insights","Hyderabad",618,3,"presentation skills | python | machine learning"
"each_skill.124","CoStrategix","Data Scientist","Bangalore",991,2,"data visualization | R | presentation skills"
"each_skill.125","NSEIT","Data Scientist","Maharashtra",856,3,"python | presentation skills | data visualization"
"each_skill.126","Bharat Light & Power","Data Scientist","Bangalore",594,0,"python | database handling | presentation skills"
"each_skill.127","Exeliq Consulting","Data Scientist","Maharashtra",569,2,"R | database handling | presentation skills"
"each_skill.128","TCG Digital","Data Scientist","India",713,2,"machine learning | java | data visualization"
"each_skill.129","Mahajan Imaging","Data Scientist","New Delhi",889,5,"presentation skills | java | database handling"
"each_skill.130","Priority Vendor","Data Scientist","Noida",793,2,"presentation skills | machine learning | database handling"
"each_skill.131","Pure Software","Data Scientist","Gurgaon",817,1,"database handling | presentation skills | data visualization"
"each_skill.132","Apptio","Data Scientist","Bangalore",540,4,"machine learning | java | data visualization"
"each_skill.133","Netradyne","Data Scientist","Bangalore",936,5,"data visualization | python | java"
"each_skill.134","TEQNirvana","Data Scientist","Mumbai",827,5,"data visualization | R | machine learning"
"each_skill.135","RGF Professional Recruitment","Data Scientist","New Delhi",894,4,"presentation skills | database handling | R"
"each_skill.136","Arista Networks","Data Scientist","Bangalore",942,1,"R | python | data visualization"
"each_skill.137","Fitfyles","Data Scientist","New Delhi",917,4,"database handling | data visualization | R"
"each_skill.138","Fundnel Pte Ltd","Data Scientist","Mumbai",719,0,"R | data visualization | database handling"
"each_skill.139","Allerin Tech Private Limited","Data Scientist","Mumbai",550,3,"java | python | R"
"each_skill.140","Larsen & Toubro Infotech Limited","Data Scientist","India",866,0,"data visualization | machine learning | database handling"
"each_skill.141","Fanatics Inc.","Data Scientist","Hyderabad",913,0,"database handling | python | R"
"each_skill.142","Onpassive","Data Scientist","Hyderabad",740,4,"java | machine learning | R"
"each_skill.143","SoftTech Services","Data Scientist","Bangalore",625,6,"presentation skills | python | java"
"each_skill.144","Innominds Software","Data Scientist","Hyderabad",842,5,"R | presentation skills | machine learning"
"each_skill.145","Harjai Computers","Data Scientist","Navi Mumbai",545,3,"python | database handling | java"
"each_skill.146","Lera Technologies Private Limited","Data Scientist","Bangalore",841,4,"presentation skills | database handling | python"
"each_skill.147","Amazon","Senior Data Scientist","Bangalore",654,0,"java | python | data visualization"
"each_skill.148","Novotree Minds Consulting Private Limited","Data Scientist","Bangalore",841,1,"data visualization | database handling | java"
"each_skill.149","Ganit","Data Scientist","Chennai",542,6,"machine learning | java | python"
"each_skill.150","GreenTree","Data Scientist","Bangalore",709,5,"java | database handling | python"
"each_skill.151","Axslogic","Data Scientist","Gurgaon",921,5,"machine learning | database handling | java"
"each_skill.152","Placement Planet","Data Scientist","Ahmedabad",918,2,"python | data visualization | java"
"each_skill.153","loyalytics consulting","Data Scientist","Bangalore",632,1,"data visualization | machine learning | python"
"each_skill1","Dreamsoftech Pvt. Ltd.","Software Engineer","Jaipur",662,5,"mathematical aptitude | programming | data structures and algorithms"
"each_skill.156","WELLS FARGO BANK","Software Engineer","India",207,1,"operating systems | data structures and algorithms | databases"
"each_skill.210","Enum Infotech LLP","Software Engineer Intern","India",445,3,"problem solving | programming | operating systems"
"each_skill.310","Appfoster Innovations Pvt Ltd","Software Engineer","Noida",220,3,"mathematical aptitude | problem solving | programming"
"each_skill.410","amdocs","Software Engineer","Pune",540,5,"programming | operating systems | problem solving"
"each_skill.510","Vamstar","Junior Software Engineer","Bangalore",609,3,"databases | problem solving | data structures and algorithms"
"each_skill.610","Gunaatita Technology Pvt Ltd","Software Engineer Trainee","Noida",269,5,"databases | data structures and algorithms | problem solving"
"each_skill.710","Orange","Software Engineer","India",667,0,"data structures and algorithms | databases | mathematical aptitude"
"each_skill.810","Apple","Software Engineer","Hyderabad",275,5,"operating systems | mathematical aptitude | programming"
"each_skill.910","Indocosmo Systems Pvt.Ltd","Fresher / Entry Level - Software Engineer -Kochi","Cochin",359,0,"programming | operating systems | mathematical aptitude"
"each_skill.1010","Cerner Corporation","Software Engineer","Bangalore",359,3,"problem solving | operating systems | mathematical aptitude"
"each_skill.1110","ADCI HYD 13 SEZ","Software Engineer","Hyderabad",646,0,"problem solving | data structures and algorithms | operating systems"
"each_skill.1210","adidas","Software Engineer (m/f/d)","Gurgaon",361,1,"operating systems | databases | mathematical aptitude"
"each_skill.1310","Aurguz Global Solutions","Trainee Software Engineer","Chennai",525,1,"operating systems | programming | databases"
"each_skill.1410","SRS Software Logics","Software Engineer Trainee/Internship","Cochin",442,5,"data structures and algorithms | programming | databases"
"each_skill.157","Exceloid Soft Systems","Associate Software Engineer","Hyderabad",464,0,"mathematical aptitude | data structures and algorithms | programming"
"each_skill.161","Apple","Software Localisation Quality Engineer - Hindi","Hyderabad",480,1,"operating systems | mathematical aptitude | databases"
"each_skill.171","Cdrive Software Solutions","Software Engineer","Vijayawada",463,2,"problem solving | databases | operating systems"
"each_skill.181","Xpertios Solutions","Software QA Engineer","Pune",676,3,"databases | data structures and algorithms | problem solving"
"each_skill.191","iTechManage Cybermatics Pvt. Ltd.","Software Test Engineer","Hyderabad",409,3,"data structures and algorithms | databases | programming"
"each_skill.201","ipowerFourTechnologies","Software Test Engineer","Telangana",605,6,"problem solving | databases | operating systems"
"each_skill.211","JCX Solutions Pvt. Ltd.","General (Mixed Products) or Health Software Functional Test Engineer","Mumbai",425,0,"mathematical aptitude | data structures and algorithms | operating systems"
"each_skill.221","FameLogic","Junior Software Engineer","Bangalore",499,2,"problem solving | data structures and algorithms | databases"
"each_skill.231","Manappuram Finance Limited","Software Engineers - Freshers","Thrissur",502,5,"operating systems | mathematical aptitude | problem solving"
"each_skill.241","Qrata","Senior Software Engineer - Flutter","Bangalore",659,0,"problem solving | mathematical aptitude | operating systems"
"each_skill.251","TSYS","Software Engineer Senior (G1)","Pune",392,1,"operating systems | programming | mathematical aptitude"
"each_skill.261","Zewia Software Solutions(P) Ltd.","Software Engineer Trainee","Thiruvananthapuram",476,4,"programming | operating systems | mathematical aptitude"
"each_skill.271","Reliance Jio Infocomm Limited","Software Test Engineer","Mumbai",201,0,"operating systems | databases | data structures and algorithms"
"each_skill.281","Ainetx Software Company","Software Engineer","Gondia",636,6,"mathematical aptitude | databases | operating systems"
"each_skill.291","PayPal","Software Engineer 2-1","Chennai",419,3,"programming | operating systems | mathematical aptitude"
"each_skill.301","Amazon","Software Development Engineer 1","Bangalore",427,1,"databases | operating systems | programming"
"each_skill.311","Morningstar","Software Engineer","Mumbai",350,2,"mathematical aptitude | programming | data structures and algorithms"
"each_skill.321","DataCore Software","Software / Senior Software Engineer ( Windows Systems, Kernel, Device Driver Developer)","Bangalore",372,0,"problem solving | mathematical aptitude | operating systems"
"each_skill.331","Riversand Technologies","Software Engineer - Java/Big Data","Bangalore",352,2,"programming | databases | data structures and algorithms"
"each_skill.341","Integral Ad Science","Associate Release Engineer","Pune",608,2,"databases | problem solving | mathematical aptitude"
"each_skill.351","Tintri","Senior Software Development Engineer in Test","Pune",690,2,"operating systems | problem solving | databases"
"each_skill.361","Saavn","Software Development Engineer in Test","Mumbai",298,6,"mathematical aptitude | problem solving | databases"
"each_skill.371","Saavn","Software Engineer - Search","Mumbai",326,4,"data structures and algorithms | operating systems | problem solving"
"each_skill.381","Navis LLC","Staff Software Engineer - Java","Chennai",658,3,"problem solving | data structures and algorithms | operating systems"
"each_skill.391","Edelman Financial Engines","Staff Software Engineer","Bangalore",273,1,"databases | programming | data structures and algorithms"
"each_skill.401","Tintri","Lead Software Engineer","Pune",511,5,"programming | mathematical aptitude | databases"
"each_skill.411","Oracle","Software Development Engineer (JoinOCI-SDE)","Bangalore",311,2,"databases | operating systems | programming"
"each_skill.421","Saavn","Software Engineer - Mobile","Mumbai",320,3,"problem solving | databases | mathematical aptitude"
"each_skill.431","Vertafore","Sr. Software Development Engineer in Test (SDET)","Hyderabad",325,3,"operating systems | problem solving | databases"
"each_skill.441","Neustar","Software Engineer II – UI Specialist","Bangalore",210,1,"problem solving | databases | mathematical aptitude"
"each_skill.451","Integral Ad Science","Product Security Engineer","Pune",472,6,"operating systems | mathematical aptitude | problem solving"
"each_skill.461","Tintri","Senior Software Engineer in Test","India",455,4,"operating systems | programming | problem solving"
"each_skill.471","Dun & Bradstreet","Principal Software Engineer","Hyderabad",209,5,"operating systems | databases | mathematical aptitude"
"each_skill.481","Riversand Technologies","Senior Software Engineer - Web Applications","Bangalore",240,2,"data structures and algorithms | operating systems | programming"
"each_skill.491","GroundTruth","Senior Software Engineer, Mobile Developer","Gurgaon",573,6,"databases | mathematical aptitude | operating systems"
"each_skill.501","Acoustic L.P.","DevOps Engineer","Pune",452,1,"programming | operating systems | data structures and algorithms"
"each_skill.511","Integral Ad Science","Senior Big Data Engineer (Data Science/ML)","Pune",649,3,"problem solving | mathematical aptitude | programming"
"each_skill.521","Motorola Solutions","Software Engineer","Bangalore",401,3,"operating systems | problem solving | databases"
"each_skill.531","Integral Ad Science","Staff Big Data Engineer (Data Science/ML)","Pune",539,0,"problem solving | mathematical aptitude | databases"
"each_skill.541","Xoriant","Software Engineer","Pune",218,3,"operating systems | data structures and algorithms | databases"
"each_skill.551","Risk Management Solutions (RMS)","Software Development Engineer II","Noida",468,6,"operating systems | programming | databases"
"each_skill.561","Integral Ad Science","Associate Technical Client Engineer (Bilingual)","Pune",639,5,"problem solving | mathematical aptitude | databases"
"each_skill.571","Paypal","Software Engineer","Chennai",671,2,"mathematical aptitude | operating systems | programming"
"each_skill.581","Appirio","Software Engineer","Gurgaon",676,5,"programming | operating systems | mathematical aptitude"
"each_skill.591","NVIDIA","Software Engineer","Pune",480,0,"databases | programming | mathematical aptitude"
"each_skill.601","Enable Data Incorporated","Back-end Software Engineer","Hyderabad",287,5,"data structures and algorithms | operating systems | mathematical aptitude"
"each_skill.611","Salesforce","Software Engineer","Hyderabad",643,5,"problem solving | mathematical aptitude | operating systems"
"each_skill.621","J.P. Morgan","Software Engineering- Data Engineer","Bangalore",208,4,"operating systems | data structures and algorithms | databases"
"each_skill.631","Amazon","Software Development Engineer - Intern","Chennai",663,4,"mathematical aptitude | problem solving | operating systems"
"each_skill.641","Vertafore","Software Development Engineer in Test II","Hyderabad",349,1,"databases | mathematical aptitude | data structures and algorithms"
"each_skill.651","Amazon","Software Development Engineer","Gurgaon",664,0,"problem solving | data structures and algorithms | operating systems"
"each_skill.661","Geckos Business Solutions Pvt. Ltd.","Software Engineer/Web Developer","Visakhapatnam",221,1,"operating systems | databases | data structures and algorithms"
"each_skill.671","Zamorins Solutions Pvt Ltd.","Senior Software Developer","Thrissur",530,5,"problem solving | mathematical aptitude | programming"
"each_skill.681","Amazon","Software Engineer","Hyderabad",563,2,"programming | data structures and algorithms | operating systems"
"each_skill.691","IHS Markit","Software Engineer","Noida",346,1,"mathematical aptitude | data structures and algorithms | programming"
"each_skill.701","Coupa Software, Inc.","Software Engineer","Pune",588,2,"programming | data structures and algorithms | problem solving"
"each_skill.711","Uhnder, Inc.","Senior/Staff Engineer – Sensor (Platform) SW","Chennai",255,0,"operating systems | problem solving | programming"
"each_skill.721","DTCC","Software Engineer","India",380,1,"mathematical aptitude | databases | programming"
"each_skill.731","NetBrain Technologies","Network Automation Service Engineer","India",272,5,"databases | problem solving | programming"
"each_skill.741","Amazon","Software Development Engineer - Digital Payments","Chennai",407,2,"databases | mathematical aptitude | operating systems"
"each_skill.751","GE Healthcare","Software Engineer","Bangalore",306,4,"programming | operating systems | databases"
"each_skill.761","McAfee","Software Engineer","Bangalore",355,1,"problem solving | mathematical aptitude | databases"
"each_skill.771","Sandvine","Software Engineer","Bangalore",599,1,"operating systems | problem solving | databases"
"each_skill.781","Amazon","Software Development Engineer I","Hyderabad",440,0,"programming | databases | mathematical aptitude"
"each_skill.791","CSG","Software Development Engineer I","Bangalore",592,5,"mathematical aptitude | operating systems | databases"
"each_skill.801","Sukino Healthcare Solutions Pvt Ltd","Full Stack .Net Developer (AngularJS 1.X)","Bangalore",416,5,"databases | programming | mathematical aptitude"
"each_skill.811","Finastra","Software Engineer","Bangalore",232,4,"mathematical aptitude | programming | problem solving"
"each_skill.821","Red Hat","Software Engineer","Bangalore",389,2,"databases | programming | data structures and algorithms"
"each_skill.831","Brightcove","Senior Software Engineer, Live","Chennai",665,3,"databases | programming | data structures and algorithms"
"each_skill.841","Amazon","Software Development Engineer-Test - Intern","Chennai",394,4,"databases | programming | mathematical aptitude"
"each_skill.851","Genesys","Software Engineer","Hyderabad",300,5,"mathematical aptitude | programming | data structures and algorithms"
"each_skill.861","Condeco","Software Engineer","New Delhi",268,4,"databases | programming | problem solving"
"each_skill.871","Autodesk","Software Engineer","Bangalore",653,6,"operating systems | programming | problem solving"
"each_skill.881","Amazon","Software Development Engineer 1","Bangalore",599,0,"problem solving | operating systems | data structures and algorithms"
"each_skill.891","Morningstar","Software Engineer","Mumbai",212,5,"data structures and algorithms | problem solving | programming"
"each_skill.901","Aristocrat Technologies","Software Development Engineer I","Gurgaon",214,3,"programming | data structures and algorithms | operating systems"
"each_skill.911","Dell Technologies","Dell Technologies - Software Senior Engineer","Bangalore",387,2,"mathematical aptitude | programming | operating systems"
"each_skill.921","MINDBODY","Software Engineer","Pune",386,1,"mathematical aptitude | problem solving | programming"
"each_skill.931","Synopsys","Software Engineer, I","Bangalore",621,5,"operating systems | data structures and algorithms | databases"
"each_skill.941","Cisco Systems","Software Engineer – Network/Embedded/Application Development (Intern) - India UHR","Bangalore",397,0,"data structures and algorithms | mathematical aptitude | programming"
"each_skill.951","Morgan Stanley","Mainframe Software Management Engineer","Bangalore",229,6,"mathematical aptitude | databases | programming"
"each_skill.961","FIS","Software Engineer","Chennai",576,6,"data structures and algorithms | mathematical aptitude | operating systems"
"each_skill.971","BOEING","Software Engineer","Bangalore",680,5,"problem solving | data structures and algorithms | operating systems"
"each_skill.981","Parexel","Software Engineer","Hyderabad",323,3,"databases | mathematical aptitude | programming"
"each_skill.991","Enable Data Incorporated","Front-end Software Engineer","Hyderabad",309,3,"data structures and algorithms | operating systems | problem solving"
"each_skill.1001","Lionbridge","Software Engineer","Chennai",697,6,"problem solving | data structures and algorithms | programming"
"each_skill.1011","Giift Plus India Pte Ltd (Giift)","Software Engineer","Mumbai",533,3,"problem solving | data structures and algorithms | mathematical aptitude"
"each_skill.1021","Dell Technologies","Software Engineer - 2","Hyderabad",236,3,"data structures and algorithms | operating systems | mathematical aptitude"
"each_skill.1031","NICE","Software Engineer","Pune",440,3,"programming | operating systems | data structures and algorithms"
"each_skill.1041","Cisco Systems","Software Engineer – Cloud Application Development (Intern) - India UHR","Bangalore",507,3,"operating systems | problem solving | mathematical aptitude"
"each_skill.1051","J.P. Morgan","Software Engineer","Hyderabad",274,4,"data structures and algorithms | operating systems | mathematical aptitude"
"each_skill.1061","Apttus","Software Engineer","Bangalore",555,1,"databases | programming | operating systems"
"each_skill.1071","Nokia","Software Development Engineer","Bangalore",534,4,"databases | problem solving | operating systems"
"each_skill.1081","Saavn","Senior Software Engineer - Data Infrastructure","Mumbai",350,3,"data structures and algorithms | databases | programming"
"each_skill.1091","Duck Creek Technologies ","Software Engineer I","Mumbai",292,1,"data structures and algorithms | databases | problem solving"
"each_skill.1101","Microsoft","Software Engineer","Bangalore",294,0,"operating systems | mathematical aptitude | problem solving"
"each_skill.1111","Aeris Communications","Senior Devops Engineer","Noida",468,6,"programming | mathematical aptitude | databases"
